ID 01	SERIAL HB6104
ID 02	SERIAL HB6060
ID 03	SERIAL HB6029
ID 04	SERIAL HB6073
ID 05	SERIAL HB6056
ID 06	SERIAL HB6030
ID 07	SERIAL HB6034
ID 08	SERIAL HB6057
ID 09	SERIAL HB6109
ID 10	SERIAL HB6046
ID 11	SERIAL HB6160
ID 12	SERIAL HB6137
ID 13	SERIAL HB6107
ID 14	SERIAL HB6013
ID 15	SERIAL HB6045
ID 16	SERIAL HB6043
ID 17	SERIAL HB6014
ID 18	SERIAL HB6018
ID 19	SERIAL HB6015
ID 20	SERIAL HB6016
ID 21	SERIAL HB6022
ID 22	SERIAL HB6020
ID 23	SERIAL HB6021
ID 24	SERIAL HB6017
ID 25	SERIAL HB6000
ID 26	SERIAL HB6150
ID 27	SERIAL HB6010
ID 28	SERIAL HB6002
ID 29	SERIAL HB6106
ID 30	SERIAL HB6114
ID 31	SERIAL HB6139
ID 32	SERIAL HB6025
ID 33	SERIAL HB6026
ID 34	SERIAL HB6152
ID 35	SERIAL HB6027
ID 36	SERIAL HB6111
ID 37	SERIAL HB6077
ID 38	SERIAL HB6153
ID 39	SERIAL HB6101
ID 40	SERIAL HB6105
ID 41	SERIAL HB6154
ID 42	SERIAL HB6085
ID 43	SERIAL HB6082
ID 44	SERIAL HB6083
ID 45	SERIAL HB6084
ID 46	SERIAL HB6122
ID 47	SERIAL HB6184
ID 48	SERIAL HB6064
ID 49	SERIAL HB6069
ID 50	SERIAL HB6161
ID 51	SERIAL HB6155
ID 52	SERIAL HB6156
ID 53	SERIAL HB6157
ID 54	SERIAL HB6128
ID 55	SERIAL HB6158
ID 56	SERIAL HB6126
ID 57	SERIAL HB6186
ID 58	SERIAL HB6102
ID 59	SERIAL HB6103
ID 60	SERIAL HB6144
ID 61	SERIAL HB6145
ID 62	SERIAL HB6124
ID 63	SERIAL HB5839
ID 64	SERIAL HB5831
ID 65	SERIAL HB5997
ID 66	SERIAL HB6049
ID 67	SERIAL HB6050
ID 68	SERIAL HB6051
ID 69	SERIAL HB5946
ID 70	SERIAL HB5943
ID 71	SERIAL HB5947
ID 72	SERIAL HB5945
ID 73	SERIAL HB5987
ID 74	SERIAL HB5949
ID 75	SERIAL HB5950
ID 76	SERIAL HB5938
ID 77	SERIAL HB5939
ID 78	SERIAL HB5957
ID 79	SERIAL HB5959
ID 80	SERIAL HB5961
ID 81	SERIAL HB5962
ID 82	SERIAL HB5977
ID 83	SERIAL HB5981
ID 84	SERIAL HB5973
ID 85	SERIAL HB5952
ID 86	SERIAL HB5899
ID 87	SERIAL HB5881
ID 88	SERIAL HB5909
ID 89	SERIAL HB5964
ID 90	SERIAL HB5969
ID 91	SERIAL HB5972
ID 92	SERIAL HB5915
ID 93	SERIAL HB5936
ID 94	SERIAL HB5895
ID 95	SERIAL HB6304
ID 96	SERIAL HB6173
ID 97	SERIAL HB6183
ID 98	SERIAL HB6228
ID 99	SERIAL HB6248
ID 100	SERIAL HB5878
ID 101	SERIAL HB6902
ID 102	SERIAL HB6914
ID 103	SERIAL HB6915
ID 104	SERIAL HB6913
ID 105	SERIAL HB6903
ID 106	SERIAL HB6907
ID 107	SERIAL HB6910
ID 108	SERIAL HB6900
ID 109	SERIAL HB6901
ID 110	SERIAL HB6865
ID 111	SERIAL HB6889
ID 112	SERIAL HB6920
ID 113	SERIAL HB6908
ID 114	SERIAL HB6917
ID 115	SERIAL HB6870
ID 116	SERIAL HB6874
ID 117	SERIAL HB6894
ID 118	SERIAL HB6893
ID 119	SERIAL HB6895
